RSK,RSKF,VPM,TMK,UPM,TXK,TNK,TGK,evapo_p,evapo_r,soil_moist
1.1,4,98,9.2,8400,10.2,7.9,6.6,8.00699300699301,8.00699300699301,110
7.2,4,99,8.8,8700,11.7,6.4,3.8,2.92307692307692,2.92307692307692,110
3.4,4,100,8,9300,9.6,6.6,6.1,3,3,110.587412587413
0.5,4,78,4.5,9300,6.6,2.7,0.2,2,2,108.972027972028
0,0,87,6.7,8900,8.2,3.4,1.2,3,3,107
0,0,85,7.9,8000,8.9,6.9,5.4,3.94405594405594,3.94405594405594,105
0,0,92,7.5,8900,8.9,6.5,3.5,2.97202797202797,2.97202797202797,104
0.3,4,76,5.4,8500,7.4,4.4,2.8,2,2,103
18.8,4,92,6.4,9500,7.6,4.3,4.2,2.06293706293706,2.06293706293706,110.72027972028
5.1,4,88,6.7,8900,8,5.4,4.4,6.31468531468532,6.31468531468532,111.146853146853
23.6,4,98,8.1,9000,10.9,5,3.9,12.6573426573427,12.6573426573427,116.146853146853
25,4,86,6.6,8800,9.3,3.8,3.3,12.993006993007,12.993006993007,116.062937062937
12.2,4,97,8.3,8800,9.9,6.3,5,8.52447552447553,8.52447552447553,116.125874125874
11.8,4,115,10.3,9100,11.7,8.5,7.7,9.37062937062937,9.37062937062937,116.300699300699
26.6,4,121,10.5,9500,11.6,9.5,9.3,7.88811188811189,7.88811188811189,115.713286713287
0,0,93,8.9,8100,11,5.5,3,9.3006993006993,9.3006993006993,114.335664335664
2.2,4,83,7.3,8200,10.4,3.5,1.3,5,5,111.363636363636
2.2,4,90,10.1,7300,11.3,7.5,6.7,8.78321678321678,8.78321678321678,108.65034965035
7.7,4,99,9.6,8300,10.7,7.4,6.7,11.1538461538462,11.1398601398601,109.972027972028
0,0,87,8.6,7800,10.1,7.2,5.4,6.01398601398601,6,107.972027972028
2.9,4,84,8.9,7400,11,6.9,5.8,8.36363636363636,8.34265734265734,106.006993006993
7.4,4,80,7.4,7700,8.9,6,4.5,9.42657342657343,9.35664335664336,105.475524475524
12.3,4,105,9.5,8800,12,6.6,5.6,10.5734265734266,10.5734265734266,116.258741258741
16.9,4,97,9,8500,11,7.1,6.5,14.4125874125874,14.4125874125874,116.706293706294
6.9,4,92,7.1,9100,8,5.3,2.7,7,7,115.041958041958
1.5,4,84,7.2,8300,8.9,6,4.4,6.98601398601399,6.98601398601399,114
0.6,4,73,3.2,9500,6.2,1.3,1.5,2,2,111.615384615385
0,0,48,-0.5,8100,1.4,-2.4,-3.9,1.98601398601399,1.98601398601399,109
0,0,32,-3,6500,-1.8,-5.4,-6.5,0,0,107
0,0,25,-4.4,5700,-1,-6.9,-7.8,0.888111888111888,0.888111888111888,105
0,0,27,-4,6000,0.1,-7,-8.9,0,0,104
0,0,39,-3.4,8100,0.1,-7.9,-9.5,1,1,103
0.4,4,60,0.3,9700,1.4,-0.6,-0.6,0.979020979020979,0.979020979020979,103
0.4,4,65,1.7,9400,2.3,0.8,0.5,2,2,103
1.1,4,60,0.6,9400,1.1,-0.1,-0.2,3,3,103
1.6,4,59,0.8,9000,1.7,0.2,-0.3,4.10489510489511,4.0979020979021,104
0,0,48,0,7900,1.6,-2.5,-5.2,3.06293706293706,3.06293706293706,103.335664335664
1.7,4,44,-1.8,8200,0.2,-3.6,-6.5,0,0,106.692307692308
0,0,49,-0.4,8300,3.2,-3.3,-9,2,2,106.853146853147
0,4,50,-1.1,8900,0.4,-2.8,-8.5,2.1958041958042,2.15384615384615,105.811188811189
0,0,40,-0.5,6900,2.9,-3.8,-8.4,2,2,104.944055944056
3.1,4,48,3.6,5900,6.8,1.6,-1.4,6.78321678321678,6.42657342657343,103.776223776224
8.8,4,91,8.9,7900,12.1,6.6,4.7,13.2167832167832,13.2167832167832,104.713286713287
4.3,4,83,7.4,8000,11.4,5.4,4.1,10.0839160839161,10.0699300699301,104.825174825175
0,4,94,10.9,7100,13.5,8.2,7.1,17.013986013986,16.986013986014,103.965034965035
1.1,4,87,7.1,8600,9,4.1,0.8,5,5,103.377622377622
5.4,4,92,8.3,8200,11.1,3.1,0.6,11.1328671328671,11.1258741258741,105.083916083916
0,0,62,3.8,7800,8.4,0.6,-2.1,5.98601398601399,5.98601398601399,104.020979020979
0,0,50,7.2,5100,13.5,0,-3,10,9.98601398601399,103
0,0,74,10,6000,13.7,6.5,2.1,10,9.00699300699301,102
0.6,4,90,9.6,7600,12.8,6.2,4.8,6,6,101
3.8,4,76,6.1,8000,7.5,5,2.8,6,6,101
0.1,4,79,6.4,8100,8.6,3.5,0.7,9.01398601398601,9.01398601398601,102
0.6,4,82,6.6,8300,9,4.3,3.2,7.98601398601399,7.95104895104895,101.937062937063
7.6,4,112,9.3,9500,10.1,8.3,7.9,5.99300699300699,5.98601398601399,102.104895104895
5.5,4,115,10.1,9300,10.9,9.4,9,8.30769230769231,8.24475524475525,104.314685314685
0.1,4,95,9.7,7900,11.2,7.4,6.9,11.9230769230769,11.6153846153846,103.174825174825
17.5,4,97,9.9,8000,11.2,8.2,7.4,10.041958041958,9.87412587412587,104.748251748252
2.7,4,76,4.7,8900,10.4,1.3,-0.9,6.85314685314685,6.85314685314685,112.174825174825
18.3,4,79,4.1,9400,10.6,1.3,-0.1,4,4,115.027972027972
11.5,4,111,10.9,8500,12.6,9.4,8.3,8.9020979020979,8.9020979020979,116.055944055944
0.2,4,110,11.1,8400,14.5,8.5,5.8,8,8,113.804195804196
0.6,4,98,9,8500,11.6,7.1,4.4,5.64335664335664,5.64335664335664,111
0.8,4,87,7.3,8500,9.6,4.3,1.5,7,7,108.685314685315
0.4,4,75,6.5,7800,9.7,3.5,1.4,8.98601398601399,8.97902097902098,106
8.7,4,114,10,9200,11.9,7.4,6.6,6.36363636363636,6.33566433566434,107.972027972028
1.8,4,120,13.1,8000,16.2,11.4,10,10.0629370629371,10.006993006993,106.475524475524
2.4,4,115,12.9,7800,15.3,10.3,9.4,8.97902097902098,8.97902097902098,105.440559440559
0,0,109,9.8,8900,11,8.1,5.5,6.32867132867133,6.15384615384615,103.972027972028
8.3,4,97,9.1,8400,10.1,7.9,7.4,7.06993006993007,7.06993006993007,107.965034965035
1.5,4,100,8.8,8800,11.4,7.5,7,8.30769230769231,8.30769230769231,107.811188811189
0.4,4,89,8.1,8300,10.4,5.7,4.5,8.00699300699301,7.98601398601399,105.993006993007
4.9,4,87,8.8,7700,10.9,7.7,6.5,10.0699300699301,10.0699300699301,106.846153846154
3.9,4,106,10.3,8500,13.5,6,4.9,15.3006993006993,15.3006993006993,109.888111888112
1,4,70,6.4,7200,8.9,4.9,2.8,12.9160839160839,12.9160839160839,108.167832167832
1.3,4,69,5.4,7700,8.7,4.2,1.8,10.3636363636364,10.3356643356643,106.727272727273
1.5,4,70,6.6,7200,10.2,4.5,3,10.5874125874126,10.3496503496504,105.027972027972
2.8,4,75,5.7,8100,7.1,4.2,3.5,7.77622377622378,7.74125874125874,107.594405594406
0,0,70,4.2,8500,7.1,-0.4,-2.7,7,7,106
0,0,68,4.8,8100,9,-0.8,-3,7,7,104
0,0,62,8.2,5700,11.4,4.5,2,14,13,103
0,0,75,8.8,6700,12.4,6.3,4.3,13.2237762237762,12.3216783216783,101
0,0,77,10.8,6000,14.7,7.2,3.8,18.1748251748252,16.0489510489511,100
