PID,Lon,Lat,Area_km2,Level
PID568185,13.074705564,50.8613785562,795.56,4
PID568200,13.5397643645,50.7074427063,9.28,2
PID568250,13.5257158091,50.7010909103,6.95,2
PID568300,13.4984248915,50.6929520088,7.35,1
PID568310,13.492184217,50.7047925284,3.38,1
PID568350,13.3600063922,50.6189392264,75.94,1
PID568400,13.212042575,50.6826108496,124.61,1
PID568630,13.2460134858,50.7405981396,4.63,2
PID568690,13.2313240429,50.7409952527,0.74,2
PID568700,13.1470357983,50.7004570608,10.48,2
PID568740,13.1455342935,50.7102907403,0.99,2
PID576391,12.2453021257,50.2712733518,47.7,1
PID576401,12.2582600476,50.3294270744,170.36,2
PID576410,12.1799214519,50.4040531132,327.61,3
PID576421,12.0986844382,50.478918451,611.96,1
PID576440,12.1681925343,50.6108875963,960,4
PID576470,12.1987389281,50.6556033635,1409.9,5
PID577010,12.3326821915,50.2831133479,9.4,1
PID577030,12.06407884,50.3744536297,11.9,1
PID577040,12.0188515243,50.3783958498,23.7,1
PID577100,12.2695836168,50.5278516446,100.1,1
PID577101,12.2712499223,50.5287902067,3.52,1
PID577103,12.2070806497,50.5531568992,4.55,2
PID577120,12.2279883884,50.5070614839,19.85,1
PID577211,12.4034283803,50.535149089,71.7,1
PID577220,12.272263957,50.6109191372,153.37,1
PID577290,11.9168350125,50.6305476466,101.5,2
PID577501,12.370394299200001,50.7813801327,165.4,1
PID577510,12.4304455661,50.8910197286,293,2
PID577700,12.3344590092,50.7825779415,10.4,1
PID577870,12.6072318346,50.9589108752,35,2
PID577880,12.5816350392,50.9553813368,56.3,2
PID577901,12.5699734313,51.0458288745,180.1,3
PID577911,12.4894449315,51.127528709,235.36,4
PID578050,12.7001317948,51.1544025426,3.5,2
PID578091,12.565705094,51.3059789769,134.6,3
PID578110,12.4356447589,51.3814202496,312.48,4
PID578170,12.6756326132,51.2119319906,8.6,2
PID578180,12.6358773,51.2496155001,10,2
PID582000,14.5819055585,51.0090710022,16.83,2
PID582010,14.4350266021,51.0788784311,178.66,3
PID582030,14.4051450575,51.1639111959,275.8,4
PID582060,14.5302768661,51.3305050585,777.6,1
PID583020,14.4518112717,51.037748012,50.96,1
PID583090,14.6492078232,51.071391102,41.48,2
PID583122,14.6231362846,51.2018963207,203.25,1
PID583140,14.5504394363,51.1292585984,2.95,2
PID583170,14.6253796659,51.1882345279,28.91,2
PID583190,14.5630104013,51.1753074731,7.28,1
PID583223,14.6559707156,51.3767036088,592,4
PID583230,14.766856354,51.1391497041,31.49,2
PID583251,14.8117776877,51.2523119926,125.4,3
PID583280,14.9233670702,51.1540865658,54.23,1
PID583282,14.8901137294,51.1796469909,7.6,2
PID583290,14.8850563226,51.2713266668,134.84,1
PID583292,14.8602210214,51.3624617507,48.7,1
PID583297,14.7863285861,51.41108797,80.5,1
PID583300,14.7862195309,51.3969803541,236.68,3
PID583342,14.4360682353,51.2794151725,26.53,1
PID999999,13.4871020222,50.977033732,4.6,1
